"","cm_key","mvar2","mvar4","mvar5","mvar6","mvar7","mvar8","mvar9","mvar10","mvar11","mvar12","mvar13","mvar14","mvar15","mvar16","mvar17","mvar18","mvar19","mvar20","mvar21","mvar22","mvar23","mvar24","mvar25","mvar26","mvar27","mvar28","mvar29","mvar30","mvar31","mvar32","mvar33","mvar34","mvar35","mvar36","mvar37","mvar38","mvar39","mvar40","mvar41","mvar42","mvar43","mvar44","mvar45","mvar49","mvar50","mvar51"
"43",50043,0,1,2,1,0.4161,0.6229,9,0,6.9887,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,5,0,0,0,0,0,0,0.0453998612700868,0.109437719101461,0.019168366978044
"44",50044,2,2,8,3,0.1416,0,8,0,1.0533,6,14,1,3,3,2,3,3,5,3,0,0,3,4,1,4,0,0,0,0,0,0,0,0,5,4,5,5,0,0,0,0,0,0,0.0305062848219113,0.100569165215508,0.00888869360383978
"45",50045,1,4,8,7,0.0033,0,2,1,0.5279,18,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.0510336180033742,-0.0373064959816566,0.0626175191535645
"46",50046,0,1,10,4,0.1859,0,8,0,3.0312,8,12,1,0,3,3,3,4,5,0,0,3,3,5,5,4,0,0,0,0,0,0,0,0,5,5,4,6,0,0,0,0,0,0,0.0426842071008398,0.114030813689989,-0.00140400500232822
"47",50047,2,4,9,6,0.4717,0.3243,7,1,6.3418,11,9,1,0,0,0,0,0,0,0,5,0,4,2,4,1,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0.076929551970321,-0.00109244013802513,0.0349534522366093
"48",50048,2,2,9,6,1.1066,0.8236,10,0,5.4667,11,13,1,1,8,4,3,2,7,7,4,7,5,3,4,4,0,0,0,0,0,0,0,0,10,9,9,10,0,0,0,0,0,0,0.108276242850841,0.116872340291139,-0.0069658986721728
"49",50049,0,5,1,6,0.3429,0,8,1,2.6211,9,15,1,0,0,3,0,0,0,0,0,0,8,8,7,9,0,0,0,0,0,0,0,0,8,3,3,3,0,0,0,0,0,0,0.144950338405603,0.00104595805950145,0.123813983309179
"50",50050,0,9,6,7,0.1788,0,1,1,1.8391,11,12,1,0,3,2,2,3,2,0,0,4,1,2,2,1,3,4,1,4,3,2,2,3,5,4,4,5,0,0,0,0,0,0,0.0530264914016693,0.000904586306465236,0.0885711241204238
"51",50051,4,3,10,3,0.2348,0,8,0,5.017,17,16,1,0,0,0,2,0,8,4,6,7,4,7,5,7,5,6,6,6,2,2,2,3,6,4,5,5,1,0,0,0,0,0,0.127657562920725,0.0227276338804464,0.00399394906434341
"52",50052,1,2,3,7,1.1589,0.1155,2,0,5.9818,11,11,1,1,4,3,3,3,0,0,3,5,4,3,4,4,0,0,0,0,0,0,0,0,9,8,9,7,0,0,0,0,0,0,0.0627098875382766,0.206201021711621,0.0604937314558687
"53",50053,0,3,3,6,0.3445,0,8,0,2.6425,16,10,1,0,0,1,1,1,2,1,7,3,4,2,4,2,4,4,4,4,2,2,4,2,6,5,8,5,0,0,0,0,0,0,0.0433532833411624,0.144982413981592,0.0277179311586394
"54",50054,0,3,5,3,0.8259,0,8,0,6.6746,18,16,1,0,0,2,1,6,0,0,0,0,9,5,9,7,4,2,0,0,4,4,4,4,8,7,8,7,0,0,0,0,0,0,0.0368499979730838,0.101738239443382,0.036710595747782
"55",50055,1,4,10,3,0.0138,0.231,5,0,1.6481,6,8,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,0,0,0.0268378706357793,0.0298000983700371,0.0470528855087313
"56",50056,4,1,8,5,0.6908,0.4142,7,0,5.715,4,11,1,0,3,3,7,6,0,6,1,0,4,4,5,3,8,8,8,8,2,4,3,4,6,7,6,7,0,0,0,0,0,0,0.108600127283616,0.0419043577868285,-0.00654333570553461
"57",50057,0,4,7,8,0.7969,0.231,2,1,3.1902,13,10,1,0,3,1,3,2,0,0,3,0,4,5,2,5,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,0,0,0.0785495457703944,0.0156451812420213,0.202329606995975
"58",50058,0,4,5,3,0.008,0,8,0,1.7184,7,12,1,0,0,0,0,3,0,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0.0314368785599603,0.0456432001431489,0.0236415174548124
"59",50059,1,2,5,5,0.6125,0.3662,5,0,5.0445,18,13,1,0,6,4,4,4,6,9,5,4,4,4,4,4,0,0,0,0,0,0,0,0,7,9,6,8,0,0,0,0,0,0,0.0756809752438101,0.211855396627647,0.0237402034337806
"60",50060,1,2,6,6,2.5477,0.1155,1,1,5.3703,7,12,1,0,0,3,0,6,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,9,0,0,0,0,0,0,0.093817308307248,0.00384756259398454,0.101473692896166
"61",50061,3,0,9,7,0.3535,0,8,1,4.1535,6,13,1,4,6,4,1,3,0,0,0,0,7,3,7,4,0,0,0,0,0,0,0,0,6,5,6,5,0,0,0,0,0,0,0.122242900834106,-0.00365867854333687,0.00523566108171596
"62",50062,0,8,6,3,0.0636,0,8,0,2.2856,2,14,1,1,1,1,1,1,0,0,1,0,1,5,4,4,2,4,4,4,1,1,1,1,5,4,3,3,2,1,0,0,1,0,0.0272512284604104,0.0559207750578775,0.0298831358314914
"63",50063,2,6,7,5,0.1681,0.75,7,0,2.8463,13,12,1,0,2,1,0,1,1,6,3,3,4,1,4,3,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,0,0,0.047521712000091,0.143740802102329,0.0311044438708055
"64",50064,5,4,10,5,0.66,0,8,0,4.6345,14,16,1,0,4,5,3,3,4,3,0,2,4,4,4,4,0,0,0,0,0,0,0,0,9,7,6,6,0,0,0,0,0,0,0.133850711881312,0.0928122639239459,0.0346617499646031
"65",50065,0,6,3,2,0.0545,0,1,0,1.1282,17,13,1,0,3,1,0,0,0,0,3,3,1,1,1,1,0,0,0,0,0,0,0,0,3,3,4,2,0,0,0,0,0,0,0.0414864028613728,0.0877703249068671,0.106120825759594
"66",50066,1,4,8,3,0.2336,0,4,0,5.413,7,14,1,3,0,0,0,0,0,0,0,0,4,5,5,4,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0.0404597535752729,0.135339747531196,0.00839817735572144
"67",50067,0,1,6,3,0.0923,0.1155,3,0,1.5104,14,15,1,1,3,2,2,1,4,0,0,0,4,2,4,1,0,0,0,0,0,0,0,0,5,4,4,5,0,0,0,0,0,0,0.0249414208283039,0.108575750588253,0.0273602819186786
"68",50068,1,4,10,3,0.3819,0.3662,5,0,5.5909,11,12,1,2,1,1,3,1,6,5,4,5,4,8,7,5,0,0,0,0,0,0,0,0,7,6,7,7,0,0,0,0,0,0,0.0521922969893875,0.147733685510423,0.0328674280492859
"69",50069,1,6,5,5,0.0202,0,8,1,2.9299,13,10,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,0,0,0,0,0,0,0.071749900352058,0.00402830415782487,0.0492976521299338
"70",50070,1,3,2,2,0.047,0,8,0,2.0607,3,13,1,0,0,0,4,5,3,0,4,0,6,6,4,7,3,0,2,2,1,1,1,1,4,4,4,4,1,0,0,1,0,0,0.093968937131389,0.0565126006789569,0.0314985877015425
"71",50071,0,1,6,3,0.7969,0.1155,8,0,6.1702,9,11,1,0,5,6,2,2,7,5,4,1,10,9,9,10,8,8,7,7,5,4,4,3,10,8,9,7,0,0,0,0,0,0,0.0635593673763756,0.124097599819431,0.160151813707139
"72",50072,0,8,2,1,0.0418,0,8,0,1.7051,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,0,0,0,0,0,0,0.0426973533553222,0.0516950782175913,0.0743861502412365
"73",50073,0,2,9,5,0.7969,0.2682,5,1,4.3111,7,9,1,0,7,7,7,6,3,5,8,3,4,3,4,3,0,0,0,0,0,0,0,0,8,7,7,6,0,0,0,0,0,0,0.0978017994273034,0.00645991385289657,0.172378385062828
"74",50074,0,9,3,1,0.0057,0,8,0,0.7595,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0.0437056172052483,0.018514942894923,0.0467050531692038
"75",50075,0,1,1,5,0.7969,0,8,1,4.123,18,13,1,0,3,5,2,0,0,4,0,0,4,4,4,5,0,0,0,0,0,0,0,0,6,7,4,3,0,0,0,0,0,0,0.142397414287814,-0.00180333374158571,0.12078120752385
"76",50076,0,1,6,6,0.7969,0.2682,5,1,3.2714,1,11,1,0,3,3,0,0,7,0,5,4,2,5,4,4,5,5,5,6,3,3,3,3,6,6,6,5,1,0,0,1,0,0,0.137585712456747,-0.0104888150730363,0.135218334153174
"77",50077,0,0,6,3,0.0263,0,8,0,1.7178,16,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,4,1,1,1,1,3,2,2,2,1,0,0,0,0,0,0.0168553660377349,0.0124828409264306,0.00731272058407766
"78",50078,0,5,6,3,0.169,0,2,0,1.3618,3,11,1,0,1,0,3,0,3,0,3,4,0,0,0,0,3,1,1,1,2,2,3,2,6,5,6,6,0,0,0,0,0,0,0.0231944347597603,0.119217004634363,0.0889488642415329
"79",50079,0,4,1,1,0.1142,0.2682,5,0,6.0011,4,8,1,0,0,0,0,0,0,0,0,0,3,2,3,1,0,0,0,0,2,1,0,0,5,3,1,1,2,0,0,0,0,0,0.0986957122248468,0.0210785843108979,0.0102188886513919
"80",50080,2,7,10,6,0.3172,0.4621,9,1,5.0035,7,13,1,0,8,3,7,5,0,0,0,0,4,5,5,4,0,0,0,0,0,0,0,0,7,5,6,7,0,0,0,0,0,0,0.0965859844949284,0.00605565494249895,0.0764726654365752
"81",50081,4,2,6,8,10,0.4907,10,1,6.506,6,13,1,1,9,9,10,8,10,9,10,9,9,10,10,8,0,0,0,0,7,7,7,6,11,11,11,10,1,0,0,0,0,0,0.240706343696367,-0.00740261565651674,-0.00350667528458364
"82",50082,0,3,3,4,0.0693,0,8,0,3.1173,12,11,1,0,0,0,0,3,5,3,5,7,4,4,4,5,0,0,0,0,0,0,0,0,4,3,3,4,0,0,0,0,0,0,0.060958173737284,0.101770620956331,0.0210333403373127
"83",50083,0,2,3,3,0.194,0,8,0,3.4882,3,11,1,1,2,3,3,3,5,0,0,3,4,4,5,4,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,0,0,0.0614149389571225,0.206464510883966,0.035111934331502
"84",50084,1,4,8,4,0.01,0.1831,4,0,0.7375,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,2,3,2,0,0,1,0,0,0,0.0119662785805543,-0.00159346033818949,0.0539187238941053
"85",50085,0,1,3,2,0.7969,0.1155,3,0,0.9918,11,8,1,0,3,3,0,1,3,4,0,0,2,4,3,4,0,0,0,0,0,0,0,0,4,3,4,2,0,0,0,0,0,0,0.0509163877114549,0.122176952250196,0.18201819282396
"86",50086,1,2,3,2,0.2292,0.3243,5,0,1.7271,14,13,1,0,3,7,0,0,6,0,0,0,5,6,4,7,0,0,0,0,0,0,0,0,6,5,2,1,0,0,0,0,0,0,0.0550113185267115,0.192756979055877,0.0956879864042652
"87",50087,0,4,6,6,0.0787,0,8,1,1.1787,13,12,1,1,0,0,0,1,0,5,0,0,0,0,0,0,4,4,5,5,1,3,2,2,5,7,5,5,3,0,1,0,0,0,0.037928471735581,-0.0066127691885803,0.0433869309166555
"88",50088,0,3,6,5,0.7969,0.2682,6,0,3.6204,4,16,1,0,6,1,3,1,5,0,4,3,4,7,7,7,0,0,0,0,0,0,0,0,8,7,7,7,0,0,0,0,0,0,0.0655704713054548,0.212160733871287,0.130541450957002
"89",50089,1,3,1,5,0.4662,0,8,0,4.3753,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,1,0,0,0,0,0,0,0.100914926568722,0.0849608031074319,0.0397682618190753
"90",50090,3,1,3,2,1.2012,0.4722,6,0,4.7948,13,14,1,0,3,4,4,2,7,3,9,7,6,7,5,7,8,8,8,8,4,5,4,4,10,9,9,8,0,0,0,0,0,0,0.151611177983946,0.153479887283657,0.0251111533429506
"91",50091,1,0,9,2,0.0089,0,8,0,0.3572,6,13,1,2,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,0,0,0,0,0,0,0.02150706576368,0.00182732919755973,0.0258063445679967
"92",50092,2,7,4,9,0.2992,0,1,1,4.6335,16,13,1,3,2,4,3,2,0,0,5,0,5,4,4,4,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0.0998880513228683,0.0226093590541144,0.0538014031613486
"93",50093,1,1,4,5,0.2548,0,2,0,4.2091,6,13,1,0,4,4,3,7,7,4,5,3,1,4,4,3,0,0,0,0,0,0,0,0,5,5,10,7,0,0,0,0,0,0,0.050427566021826,0.199244311737231,0.0102981014010926
"94",50094,0,3,5,6,0.7969,0.231,2,1,4.1881,8,9,1,1,3,5,7,3,0,5,0,0,4,4,3,4,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0.0797699794397518,0.0183509620788865,0.217136553223978
"95",50095,1,3,8,3,0.0696,0.1155,3,0,4.3408,8,8,1,3,3,2,3,4,0,0,0,0,4,2,4,2,0,0,0,0,0,0,0,0,4,4,3,3,0,0,0,0,0,0,0.0342425460001437,0.0448488674266967,0.0423850125348446
"96",50096,0,1,1,1,0.0871,0,8,0,0.5895,18,10,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0.0967374798482038,0.0294807659558247,0.0596183482308349
"97",50097,2,1,9,3,0.0325,0.1831,5,0,1.2345,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,4,2,2,3,0,0,0,0,0,0,0.0219667772445612,-0.0105089921537872,0.0399400380687989
"98",50098,3,3,5,9,0.5457,0.4275,6,1,3.7204,7,10,1,0,3,6,4,4,7,3,4,1,6,7,7,5,7,7,7,8,3,3,3,3,7,6,7,6,0,0,0,0,0,0,0.149375924186166,0.0110653124832539,0.0641383571087083
"99",50099,0,4,8,5,0.0998,0,5,0,1.4296,11,14,1,0,3,1,3,1,0,0,0,0,2,1,1,1,4,4,4,4,2,2,2,2,4,4,4,3,1,0,0,0,0,0,0.0201932975115391,0.0251299484342526,0.0156500178570979
"100",50100,1,5,1,5,0.3957,0,8,1,2.3832,9,16,1,0,0,0,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,0,0,0,8,5,1,1,0,0,0,0,0,0,0.133849241126867,0.00153478382627754,0.0610756015254766
"101",50101,0,3,3,4,0.7969,0,8,0,1.8199,17,16,1,0,1,2,3,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,0.0426973533553222,0.091102259254381,0.137169442438874
"102",50102,2,1,3,6,1.7175,0,2,0,4.4095,11,11,1,2,6,1,3,5,3,4,3,5,7,8,2,8,0,0,0,0,0,0,0,0,10,10,9,7,0,0,0,0,0,0,0.09901313216463,0.184631746821946,0.0494200734646256
"103",50103,0,9,1,3,0.1069,0,8,0,2.6413,12,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,0,0.093212487061545,0.0845887501170165,0.00987059653582916
"104",50104,0,6,2,4,0.0507,0.1155,3,1,1.2395,16,12,1,0,0,0,0,0,0,0,0,0,2,3,2,3,0,0,0,0,1,1,2,1,3,5,5,2,1,0,1,0,0,0,0.0534610136451227,-0.00681124129571891,0.126339028190873
"105",50105,2,10,1,1,0.0832,0,8,0,1.012,5,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,0,1,1,1,1,3,4,2,1,1,0,0,1,0,0,0.099471046128177,0.174612224811771,0.0219367923168831
"106",50106,3,3,2,1,0.022,0.1155,3,0,2.688,17,9,1,0,1,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,2,3,4,3,0,0,0,0,0,0,0.0932267101199172,0.0304678874738603,0.0825686575909896
"107",50107,0,8,1,2,0.0255,0.1155,2,0,2.4114,16,8,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0.0903565086189332,0.0344691585776502,0.0388977089634942
