cm_key,mvar2,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33,mvar34,mvar35,mvar36,mvar37,mvar38,mvar39,mvar40,mvar41,mvar42,mvar43,mvar44,mvar45
50016,1,7,2,1,0.4697,0.1831,4,0,4.9309,11,16,7,0,0,0,0,0,8,5,0,0,1,1,1,1,7,7,7,0,3,3,2,0,8,7,6,1,0,0,0,0,0,0
50017,5,2,9,7,10,0,8,1,6.8625,9,14,1,0,0,0,0,0,0,6,4,0,8,4,8,7,8,8,8,8,8,7,7,8,11,11,11,11,0,0,0,0,0,0
50018,0,2,4,3,0.7969,0.1831,3,0,2.5768,7,11,1,0,3,1,2,3,3,1,1,0,3,3,2,4,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,0,0
50019,0,4,5,3,0.7969,0.1155,2,0,4.4904,16,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,0,0,0,0,0,0
50020,6,2,3,10,3.6168,0.1155,5,0,4.7198,6,12,1,0,4,1,1,1,6,8,9,10,4,5,4,5,8,7,7,7,5,5,5,5,10,10,10,10,2,0,0,1,0,0
50021,1,2,5,7,0.3674,0.1831,4,0,4.1686,3,11,1,0,0,1,3,0,9,7,7,5,7,5,4,7,5,5,7,5,3,2,2,3,7,5,5,6,0,0,0,0,0,0
50022,0,2,5,6,0.7969,0,1,0,2.3052,2,12,1,0,3,3,4,3,0,0,0,0,4,4,1,5,0,2,0,0,4,4,4,4,9,8,7,7,0,1,0,0,0,0
50023,0,2,5,5,0.0238,0,8,1,1.0619,11,10,1,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,2,1,0,0,0,0,0
50024,3,0,5,3,0.1382,0,8,0,4.3802,11,17,1,0,3,3,3,2,7,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,0,0,0,0,0,0
50025,0,2,9,5,0.7969,0,2,1,0.9357,16,8,1,0,1,0,0,3,5,4,2,3,0,0,0,0,4,4,4,4,1,1,1,2,6,4,4,5,0,0,1,0,0,0
50026,0,4,1,1,0.0777,0,8,0,2.0418,14,14,1,0,0,3,4,0,0,0,0,0,1,3,2,3,0,0,0,0,0,0,0,0,5,5,4,4,0,0,0,0,0,0
50027,0,3,6,5,0.7969,0.4275,8,0,6.6676,2,11,1,0,3,3,3,5,1,0,7,0,7,8,7,8,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0
50028,0,1,8,3,0.7969,0.4142,5,0,2.1028,4,9,1,0,8,2,0,3,4,3,3,7,7,4,7,4,0,0,0,0,0,0,0,0,6,4,4,5,0,0,0,0,0,0
50029,1,3,7,3,0.0834,0.231,4,0,3.8116,8,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,6,6,0,1,0,0,0,0
50030,0,7,2,1,0.0001,0.1155,4,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0
50031,1,1,9,3,0.0857,0.1155,2,0,3.398,18,7,1,2,3,0,3,0,0,0,2,8,1,2,1,2,0,0,0,0,0,0,0,0,4,4,4,5,0,0,0,0,0,0
50032,3,9,7,5,1.9674,0,8,0,6.3501,18,15,1,3,6,4,6,7,3,7,0,4,6,6,7,4,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0
50033,0,2,2,1,0.7969,0,8,0,5.5049,9,10,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,1,1,1,1,4,4,1,3,2,1,0,0,0,0
50034,9,0,10,8,4.2656,0,5,0,6.0561,18,19,1,3,7,3,3,6,9,9,9,8,4,9,6,9,7,4,4,4,7,7,7,6,10,10,10,10,2,1,0,2,0,0
50035,1,3,3,3,0.2209,0,2,0,3.3352,8,11,1,0,0,5,0,0,2,3,0,0,0,0,0,0,7,7,7,6,3,2,2,3,6,6,5,6,0,0,0,0,0,0
50036,0,3,1,1,0.1623,0,1,0,4.2656,8,8,1,0,2,0,0,0,3,2,3,0,3,4,4,1,0,0,0,0,1,1,1,0,6,2,3,1,2,0,0,0,0,0
50037,0,2,6,5,0.3794,0.8831,10,1,5.347,17,8,1,0,0,0,1,1,8,0,0,0,4,7,5,6,0,0,1,0,2,2,4,3,7,5,8,6,0,0,1,0,0,0
50038,3,2,7,9,0.3491,0,8,1,4.72,18,16,1,0,2,2,2,3,5,7,3,7,4,4,4,4,0,0,0,0,0,0,0,0,7,6,5,6,0,0,0,0,0,0
50039,1,2,5,4,9.8401,0,8,0,6.758,14,15,1,0,1,1,1,3,0,0,0,4,0,0,0,0,6,5,4,4,6,6,6,5,11,10,10,10,0,1,0,0,0,0
50040,3,4,5,8,0.2945,0.231,4,1,2.382,11,4,1,0,3,0,0,3,0,0,2,0,4,4,4,4,0,0,0,0,0,0,0,0,7,6,6,6,0,0,0,0,0,0
50041,4,3,5,4,0.0786,0,8,0,1.919,11,12,1,1,1,0,0,0,0,3,0,4,3,3,2,3,0,0,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,0
50042,0,1,8,3,0.1941,0,8,0,2.5315,11,10,1,4,2,1,2,3,4,3,6,7,3,4,2,4,3,4,4,6,2,2,2,2,5,5,5,6,2,2,0,0,0,0
50043,0,1,2,1,0.4161,0.6229,9,0,6.9887,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,5,0,0,0,0,0,0
50044,2,2,8,3,0.1416,0,8,0,1.0533,6,14,1,3,3,2,3,3,5,3,0,0,3,4,1,4,0,0,0,0,0,0,0,0,5,4,5,5,0,0,0,0,0,0
50045,1,4,8,7,0.0033,0,2,1,0.5279,18,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0
50046,0,1,10,4,0.1859,0,8,0,3.0312,8,12,1,0,3,3,3,4,5,0,0,3,3,5,5,4,0,0,0,0,0,0,0,0,5,5,4,6,0,0,0,0,0,0
50047,2,4,9,6,0.4717,0.3243,7,1,6.3418,11,9,1,0,0,0,0,0,0,0,5,0,4,2,4,1,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0
50048,2,2,9,6,1.1066,0.8236,10,0,5.4667,11,13,1,1,8,4,3,2,7,7,4,7,5,3,4,4,0,0,0,0,0,0,0,0,10,9,9,10,0,0,0,0,0,0
50049,0,5,1,6,0.3429,0,8,1,2.6211,9,15,1,0,0,3,0,0,0,0,0,0,8,8,7,9,0,0,0,0,0,0,0,0,8,3,3,3,0,0,0,0,0,0
50050,0,9,6,7,0.1788,0,1,1,1.8391,11,12,1,0,3,2,2,3,2,0,0,4,1,2,2,1,3,4,1,4,3,2,2,3,5,4,4,5,0,0,0,0,0,0
50051,4,3,10,3,0.2348,0,8,0,5.017,17,16,1,0,0,0,2,0,8,4,6,7,4,7,5,7,5,6,6,6,2,2,2,3,6,4,5,5,1,0,0,0,0,0
50052,1,2,3,7,1.1589,0.1155,2,0,5.9818,11,11,1,1,4,3,3,3,0,0,3,5,4,3,4,4,0,0,0,0,0,0,0,0,9,8,9,7,0,0,0,0,0,0
50053,0,3,3,6,0.3445,0,8,0,2.6425,16,10,1,0,0,1,1,1,2,1,7,3,4,2,4,2,4,4,4,4,2,2,4,2,6,5,8,5,0,0,0,0,0,0
50054,0,3,5,3,0.8259,0,8,0,6.6746,18,16,1,0,0,2,1,6,0,0,0,0,9,5,9,7,4,2,0,0,4,4,4,4,8,7,8,7,0,0,0,0,0,0
50055,1,4,10,3,0.0138,0.231,5,0,1.6481,6,8,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,0,0
50056,4,1,8,5,0.6908,0.4142,7,0,5.715,4,11,1,0,3,3,7,6,0,6,1,0,4,4,5,3,8,8,8,8,2,4,3,4,6,7,6,7,0,0,0,0,0,0
50057,0,4,7,8,0.7969,0.231,2,1,3.1902,13,10,1,0,3,1,3,2,0,0,3,0,4,5,2,5,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,0,0
50058,0,4,5,3,0.008,0,8,0,1.7184,7,12,1,0,0,0,0,3,0,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
50059,1,2,5,5,0.6125,0.3662,5,0,5.0445,18,13,1,0,6,4,4,4,6,9,5,4,4,4,4,4,0,0,0,0,0,0,0,0,7,9,6,8,0,0,0,0,0,0
50060,1,2,6,6,2.5477,0.1155,1,1,5.3703,7,12,1,0,0,3,0,6,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,9,0,0,0,0,0,0
50061,3,0,9,7,0.3535,0,8,1,4.1535,6,13,1,4,6,4,1,3,0,0,0,0,7,3,7,4,0,0,0,0,0,0,0,0,6,5,6,5,0,0,0,0,0,0
50062,0,8,6,3,0.0636,0,8,0,2.2856,2,14,1,1,1,1,1,1,0,0,1,0,1,5,4,4,2,4,4,4,1,1,1,1,5,4,3,3,2,1,0,0,1,0
50063,2,6,7,5,0.1681,0.75,7,0,2.8463,13,12,1,0,2,1,0,1,1,6,3,3,4,1,4,3,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,0,0
50064,5,4,10,5,0.66,0,8,0,4.6345,14,16,1,0,4,5,3,3,4,3,0,2,4,4,4,4,0,0,0,0,0,0,0,0,9,7,6,6,0,0,0,0,0,0
50065,0,6,3,2,0.0545,0,1,0,1.1282,17,13,1,0,3,1,0,0,0,0,3,3,1,1,1,1,0,0,0,0,0,0,0,0,3,3,4,2,0,0,0,0,0,0
50066,1,4,8,3,0.2336,0,4,0,5.413,7,14,1,3,0,0,0,0,0,0,0,0,4,5,5,4,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0
50067,0,1,6,3,0.0923,0.1155,3,0,1.5104,14,15,1,1,3,2,2,1,4,0,0,0,4,2,4,1,0,0,0,0,0,0,0,0,5,4,4,5,0,0,0,0,0,0
50068,1,4,10,3,0.3819,0.3662,5,0,5.5909,11,12,1,2,1,1,3,1,6,5,4,5,4,8,7,5,0,0,0,0,0,0,0,0,7,6,7,7,0,0,0,0,0,0
50069,1,6,5,5,0.0202,0,8,1,2.9299,13,10,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,0,0,0,0,0,0
50070,1,3,2,2,0.047,0,8,0,2.0607,3,13,1,0,0,0,4,5,3,0,4,0,6,6,4,7,3,0,2,2,1,1,1,1,4,4,4,4,1,0,0,1,0,0
50071,0,1,6,3,0.7969,0.1155,8,0,6.1702,9,11,1,0,5,6,2,2,7,5,4,1,10,9,9,10,8,8,7,7,5,4,4,3,10,8,9,7,0,0,0,0,0,0
50072,0,8,2,1,0.0418,0,8,0,1.7051,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,0,0,0,0,0,0
50073,0,2,9,5,0.7969,0.2682,5,1,4.3111,7,9,1,0,7,7,7,6,3,5,8,3,4,3,4,3,0,0,0,0,0,0,0,0,8,7,7,6,0,0,0,0,0,0
50074,0,9,3,1,0.0057,0,8,0,0.7595,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
50075,0,1,1,5,0.7969,0,8,1,4.123,18,13,1,0,3,5,2,0,0,4,0,0,4,4,4,5,0,0,0,0,0,0,0,0,6,7,4,3,0,0,0,0,0,0
50076,0,1,6,6,0.7969,0.2682,5,1,3.2714,1,11,1,0,3,3,0,0,7,0,5,4,2,5,4,4,5,5,5,6,3,3,3,3,6,6,6,5,1,0,0,1,0,0
50077,0,0,6,3,0.0263,0,8,0,1.7178,16,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,4,1,1,1,1,3,2,2,2,1,0,0,0,0,0
50078,0,5,6,3,0.169,0,2,0,1.3618,3,11,1,0,1,0,3,0,3,0,3,4,0,0,0,0,3,1,1,1,2,2,3,2,6,5,6,6,0,0,0,0,0,0
50079,0,4,1,1,0.1142,0.2682,5,0,6.0011,4,8,1,0,0,0,0,0,0,0,0,0,3,2,3,1,0,0,0,0,2,1,0,0,5,3,1,1,2,0,0,0,0,0
50080,2,7,10,6,0.3172,0.4621,9,1,5.0035,7,13,1,0,8,3,7,5,0,0,0,0,4,5,5,4,0,0,0,0,0,0,0,0,7,5,6,7,0,0,0,0,0,0
50081,4,2,6,8,10,0.4907,10,1,6.506,6,13,1,1,9,9,10,8,10,9,10,9,9,10,10,8,0,0,0,0,7,7,7,6,11,11,11,10,1,0,0,0,0,0
50082,0,3,3,4,0.0693,0,8,0,3.1173,12,11,1,0,0,0,0,3,5,3,5,7,4,4,4,5,0,0,0,0,0,0,0,0,4,3,3,4,0,0,0,0,0,0
50083,0,2,3,3,0.194,0,8,0,3.4882,3,11,1,1,2,3,3,3,5,0,0,3,4,4,5,4,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,0,0
50084,1,4,8,4,0.01,0.1831,4,0,0.7375,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,2,3,2,0,0,1,0,0,0
50085,0,1,3,2,0.7969,0.1155,3,0,0.9918,11,8,1,0,3,3,0,1,3,4,0,0,2,4,3,4,0,0,0,0,0,0,0,0,4,3,4,2,0,0,0,0,0,0
50086,1,2,3,2,0.2292,0.3243,5,0,1.7271,14,13,1,0,3,7,0,0,6,0,0,0,5,6,4,7,0,0,0,0,0,0,0,0,6,5,2,1,0,0,0,0,0,0
50087,0,4,6,6,0.0787,0,8,1,1.1787,13,12,1,1,0,0,0,1,0,5,0,0,0,0,0,0,4,4,5,5,1,3,2,2,5,7,5,5,3,0,1,0,0,0
50088,0,3,6,5,0.7969,0.2682,6,0,3.6204,4,16,1,0,6,1,3,1,5,0,4,3,4,7,7,7,0,0,0,0,0,0,0,0,8,7,7,7,0,0,0,0,0,0
50089,1,3,1,5,0.4662,0,8,0,4.3753,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,1,0,0,0,0,0,0
50090,3,1,3,2,1.2012,0.4722,6,0,4.7948,13,14,1,0,3,4,4,2,7,3,9,7,6,7,5,7,8,8,8,8,4,5,4,4,10,9,9,8,0,0,0,0,0,0
50091,1,0,9,2,0.0089,0,8,0,0.3572,6,13,1,2,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,0,0,0,0,0,0
50092,2,7,4,9,0.2992,0,1,1,4.6335,16,13,1,3,2,4,3,2,0,0,5,0,5,4,4,4,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0
50093,1,1,4,5,0.2548,0,2,0,4.2091,6,13,1,0,4,4,3,7,7,4,5,3,1,4,4,3,0,0,0,0,0,0,0,0,5,5,10,7,0,0,0,0,0,0
50094,0,3,5,6,0.7969,0.231,2,1,4.1881,8,9,1,1,3,5,7,3,0,5,0,0,4,4,3,4,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0
50095,1,3,8,3,0.0696,0.1155,3,0,4.3408,8,8,1,3,3,2,3,4,0,0,0,0,4,2,4,2,0,0,0,0,0,0,0,0,4,4,3,3,0,0,0,0,0,0
50096,0,1,1,1,0.0871,0,8,0,0.5895,18,10,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0
50097,2,1,9,3,0.0325,0.1831,5,0,1.2345,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,4,2,2,3,0,0,0,0,0,0
50098,3,3,5,9,0.5457,0.4275,6,1,3.7204,7,10,1,0,3,6,4,4,7,3,4,1,6,7,7,5,7,7,7,8,3,3,3,3,7,6,7,6,0,0,0,0,0,0
50099,0,4,8,5,0.0998,0,5,0,1.4296,11,14,1,0,3,1,3,1,0,0,0,0,2,1,1,1,4,4,4,4,2,2,2,2,4,4,4,3,1,0,0,0,0,0
50100,1,5,1,5,0.3957,0,8,1,2.3832,9,16,1,0,0,0,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,0,0,0,8,5,1,1,0,0,0,0,0,0
50101,0,3,3,4,0.7969,0,8,0,1.8199,17,16,1,0,1,2,3,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0
50102,2,1,3,6,1.7175,0,2,0,4.4095,11,11,1,2,6,1,3,5,3,4,3,5,7,8,2,8,0,0,0,0,0,0,0,0,10,10,9,7,0,0,0,0,0,0
50103,0,9,1,3,0.1069,0,8,0,2.6413,12,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,0
50104,0,6,2,4,0.0507,0.1155,3,1,1.2395,16,12,1,0,0,0,0,0,0,0,0,0,2,3,2,3,0,0,0,0,1,1,2,1,3,5,5,2,1,0,1,0,0,0
50105,2,10,1,1,0.0832,0,8,0,1.012,5,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,0,1,1,1,1,3,4,2,1,1,0,0,1,0,0
50106,3,3,2,1,0.022,0.1155,3,0,2.688,17,9,1,0,1,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,2,3,4,3,0,0,0,0,0,0
50107,0,8,1,2,0.0255,0.1155,2,0,2.4114,16,8,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0
50108,0,5,5,7,0.7969,0.3662,8,1,5.3814,5,13,1,3,4,4,3,4,6,5,7,6,6,4,7,3,0,1,1,1,3,4,4,4,9,9,8,7,0,0,0,0,0,0
50109,0,1,10,3,0.4658,0,8,0,5.3048,11,12,1,1,5,3,3,3,0,0,0,2,9,6,9,7,5,5,5,5,3,3,3,3,9,6,6,6,1,0,0,0,0,0
50110,0,2,6,5,0.0232,0.1155,2,0,0.8068,14,10,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0
50111,0,2,5,5,0.7969,0,2,1,6.9414,18,16,1,2,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,5,5,5,5,10,10,10,10,1,0,0,0,0,0
50112,5,12,3,5,0.0998,0,8,1,2.9173,18,18,1,1,0,0,1,0,5,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,5,1,4,5,1,0,0,0,0,0
50113,0,5,2,1,0.0045,0,8,0,0.8624,8,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0
50114,1,2,8,1,0.2294,0.1155,2,0,1.7982,13,10,0,0,4,1,0,0,6,3,0,6,1,2,1,2,7,7,7,7,2,2,2,2,6,5,5,5,0,0,0,0,0,0
50115,0,0,10,2,0.2477,0,8,0,1.0703,18,9,1,0,0,0,0,0,8,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,2,1,2,0,0,0,0,0,0
50116,4,1,1,1,0.0629,0,8,0,4.1655,14,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0
50117,0,3,3,3,0.8321,0,8,0,4.1373,7,9,1,0,2,1,1,1,6,6,4,0,4,4,4,4,0,0,0,0,0,0,0,0,7,6,6,6,0,0,0,0,0,0
50118,0,2,4,2,0.1245,0,8,0,1.822,11,15,1,0,4,1,1,0,0,0,0,3,1,4,1,4,0,0,0,0,0,0,0,0,5,3,3,3,0,0,0,0,0,0
50119,3,6,6,7,0.4844,0.3466,4,1,3.8131,4,15,1,0,7,3,3,3,6,0,0,6,6,4,6,4,0,0,0,0,0,0,0,0,8,6,6,8,0,0,0,0,0,0
50120,2,4,7,4,0.1367,0,2,0,2.334,17,12,1,0,0,1,1,0,7,6,8,0,3,3,1,4,1,4,4,5,1,2,2,1,5,5,5,4,1,0,0,0,0,0
50121,1,1,9,6,0.0159,0,5,1,1.2258,9,10,1,2,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,0,0,0,0,0,0
50122,2,2,4,3,1.8068,0.4142,6,0,5.3031,13,11,1,0,5,5,4,3,6,0,4,4,4,4,4,4,8,9,9,5,5,4,5,4,10,8,10,10,1,0,1,0,0,0
50123,0,5,6,3,0.0103,0,2,0,1.8624,13,10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
50124,0,3,9,5,0.7969,0.1155,4,0,5.7476,6,11,1,2,3,6,0,3,3,3,0,3,4,2,4,4,0,0,0,0,0,0,0,0,8,6,6,6,0,0,0,0,0,0
50125,0,8,4,9,0.7969,0.1155,3,1,6.677,17,13,1,0,3,3,2,3,4,6,2,3,10,10,10,10,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0
50126,0,6,8,6,0.7969,0,1,1,1.561,11,13,1,0,0,0,2,0,0,0,3,0,3,3,1,4,1,2,3,1,1,1,1,1,3,2,4,2,1,0,1,0,0,0
50127,11,1,5,5,5.0602,0,8,1,6.68,16,15,1,0,7,3,8,7,8,8,9,7,9,8,9,6,9,9,9,9,8,8,8,6,11,11,11,11,1,0,0,2,0,0
50128,0,4,4,5,0.1385,0,2,0,3.0033,16,13,1,0,0,1,0,0,3,2,3,0,0,0,0,0,1,0,0,0,1,1,1,1,5,3,4,3,0,0,0,0,0,0
50129,0,3,4,6,0.7969,0.2682,5,1,2.8788,13,11,1,2,3,3,2,2,8,8,6,7,4,3,3,3,4,4,6,4,3,3,3,3,7,6,7,7,0,0,0,0,0,0
50130,0,4,1,1,0.0633,0.1155,4,0,4.6143,18,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,4,0,0,0,0,0,0
50131,5,1,9,6,0.8084,0.1155,4,0,4.9233,16,14,1,1,2,3,3,2,7,8,6,7,4,7,5,7,8,7,8,8,3,4,3,3,8,8,6,6,1,1,0,1,0,0
50132,1,4,4,3,0.1311,0,8,0,3.1443,3,19,1,0,3,3,2,3,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,5,4,4,5,0,0,0,0,0,0
50133,0,2,9,6,0.7969,0.1155,2,1,2.6044,11,12,1,0,0,0,3,0,3,3,6,6,0,0,0,0,0,3,3,0,1,1,2,2,5,4,4,5,1,0,1,0,0,0
50134,3,8,3,8,0.4776,0.2682,5,0,4.7393,11,13,1,0,1,1,3,3,8,5,6,6,8,7,8,8,0,0,0,0,0,0,0,0,7,6,7,7,0,0,0,0,0,0
50135,1,1,9,7,0.0955,0,8,1,2.3194,5,9,1,0,3,3,0,3,5,5,6,6,3,4,3,4,5,5,7,5,2,2,2,2,5,4,4,4,1,0,0,1,0,0
50136,0,5,3,6,0.5054,0,3,0,2.4783,11,12,1,0,3,3,3,3,5,9,5,2,10,7,10,8,0,0,0,0,0,0,0,0,6,7,4,4,0,0,0,0,0,0
50137,0,0,2,1,0.0901,0,3,0,5.3894,18,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,0,0,0,0,0,0
50138,1,8,2,6,0.0974,0.1155,2,1,1.9089,3,9,1,0,2,0,0,0,0,5,0,0,4,2,3,3,3,0,0,0,1,1,3,3,5,4,2,1,1,0,0,0,0,0
50139,0,2,4,3,0.7969,0.1831,3,0,3.4503,6,6,1,0,2,7,1,3,3,3,3,7,7,7,4,7,0,0,0,0,0,0,0,0,5,5,5,7,0,0,0,0,0,0
50140,0,4,6,3,0.7969,0.1155,6,0,5.1695,9,8,1,0,2,1,1,1,4,7,6,0,5,7,5,7,0,0,0,0,0,0,0,0,8,7,7,6,0,0,0,0,0,0
50141,2,2,3,2,0.5602,0.5926,7,0,6.0613,4,14,1,0,0,0,0,0,4,0,0,0,4,4,4,4,3,4,4,4,3,3,1,1,8,6,4,3,0,0,1,0,0,0
